,aug-cc-pvt+dz,aug-pc-3,Def2-TZVP,Def2-QZVP,Def2-TZVPPD,Def2-QZVPPD,Def2-SVP,aug-pc-0,aug-cc-pv5+dz,aug-pc-4,aug-pc-1,aug-cc-pvqz,aug-cc-pvtz,aug-pc-2,aug-cc-pvq+dz,aug-cc-pv5z
01_H.out,45.0,0.0,11,59,33,65,9,0.0,159.0,0.0,0.0,91.0,45.0,0.0,91.0,159.0
02_He.out,44.0,98.0,10,58,32,64,8,4.0,158.0,174.0,16.0,90.0,44.0,44.0,90.0,158.0
03_Li.out,89.0,93.0,25,67,41,67,15,17.0,0.0,163.0,23.0,157.0,89.0,45.0,157.0,251.0
04_Be.out,88.0,92.0,34,68,40,68,14,16.0,0.0,162.0,22.0,156.0,88.0,44.0,156.0,250.0
05_B.out,87.0,173.0,57,109,69,121,23,21.0,249.0,285.0,41.0,155.0,87.0,87.0,155.0,249.0
06_C.out,86.0,172.0,56,108,68,120,22,20.0,248.0,284.0,40.0,154.0,86.0,86.0,154.0,248.0
07_N.out,85.0,171.0,55,107,67,119,21,19.0,247.0,283.0,39.0,153.0,85.0,85.0,153.0,247.0
08_O.out,84.0,170.0,54,106,72,124,20,18.0,246.0,282.0,38.0,152.0,84.0,84.0,152.0,246.0
09_F.out,83.0,169.0,53,105,71,123,19,17.0,245.0,281.0,37.0,151.0,83.0,83.0,151.0,245.0
10_Ne.out,82.0,168.0,52,104,70,122,18,16.0,244.0,280.0,36.0,150.0,82.0,82.0,150.0,244.0
11_Na.out,89.0,91.0,53,81,59,105,19,17.0,0.0,159.0,17.0,157.0,89.0,45.0,157.0,251.0
12_Mg.out,88.0,90.0,52,90,58,114,24,16.0,0.0,158.0,16.0,156.0,88.0,44.0,156.0,250.0
13_Al.out,97.0,165.0,61,127,83,139,23,21.0,259.0,269.0,41.0,155.0,87.0,87.0,165.0,249.0
14_Si.out,96.0,164.0,60,126,82,138,22,20.0,258.0,268.0,40.0,154.0,86.0,86.0,164.0,248.0
15_P.out,95.0,163.0,59,125,81,137,21,19.0,257.0,267.0,39.0,153.0,85.0,85.0,163.0,247.0
16_S.out,94.0,162.0,58,124,86,142,20,18.0,256.0,266.0,38.0,152.0,84.0,84.0,162.0,246.0
17_Cl.out,93.0,161.0,57,123,85,141,19,17.0,255.0,265.0,37.0,151.0,83.0,83.0,161.0,245.0
18_Ar.out,92.0,160.0,56,122,84,140,18,16.0,254.0,264.0,36.0,150.0,82.0,82.0,160.0,244.0
19_K.out,,111.0,47,93,53,121,29,17.0,,179.0,47.0,,,65.0,,
20_Ca.out,,110.0,52,92,52,120,28,16.0,,178.0,46.0,,,64.0,,
21_Sc.out,165.0,235.0,69,147,113,165,41,0.0,383.0,373.0,73.0,259.0,165.0,141.0,259.0,383.0
22_Ti.out,164.0,234.0,68,146,112,164,40,0.0,382.0,372.0,72.0,258.0,164.0,140.0,258.0,382.0
23_V.out,163.0,233.0,67,145,111,163,39,0.0,381.0,371.0,71.0,257.0,163.0,139.0,257.0,381.0
24_Cr.out,162.0,232.0,66,144,110,162,38,0.0,380.0,370.0,70.0,256.0,162.0,138.0,256.0,380.0
25_Mn.out,161.0,231.0,65,143,109,133,37,0.0,379.0,369.0,69.0,255.0,161.0,137.0,255.0,379.0
26_Fe.out,160.0,230.0,64,142,108,174,36,0.0,378.0,368.0,68.0,254.0,160.0,136.0,254.0,378.0
27_Co.out,159.0,229.0,63,141,107,173,35,0.0,377.0,367.0,67.0,253.0,159.0,135.0,253.0,377.0
28_Ni.out,158.0,228.0,62,140,106,172,34,0.0,376.0,366.0,66.0,252.0,158.0,134.0,252.0,376.0
29_Cu.out,157.0,227.0,61,139,105,171,33,0.0,375.0,365.0,65.0,251.0,157.0,133.0,251.0,375.0
30_Zn.out,156.0,226.0,66,138,104,170,32,0.0,374.0,364.0,64.0,250.0,156.0,132.0,250.0,374.0
31_Ga.out,87.0,155.0,65,119,77,159,33,21.0,249.0,263.0,41.0,155.0,87.0,87.0,155.0,249.0
32_Ge.out,86.0,154.0,64,118,76,158,32,20.0,248.0,262.0,40.0,154.0,86.0,86.0,154.0,248.0
33_As.out,85.0,153.0,63,117,75,157,31,19.0,247.0,261.0,39.0,153.0,85.0,85.0,153.0,247.0
34_Se.out,84.0,152.0,62,116,80,162,30,18.0,246.0,260.0,38.0,152.0,84.0,84.0,152.0,246.0
35_Br.out,83.0,151.0,61,115,79,161,29,17.0,245.0,259.0,37.0,151.0,83.0,83.0,151.0,245.0
36_Kr.out,82.0,150.0,60,114,78,160,28,16.0,244.0,258.0,36.0,150.0,82.0,82.0,150.0,244.0
37_Rb.out,,,57,89,71,117,39,,,,,,,,,
38_Sr.out,,,56,88,70,116,36,,,,,,,,,
39_Y.out,,,69,133,101,151,51,,,,,259.0,165.0,,,383.0
40_Zr.out,,,68,132,100,150,50,,,,,258.0,164.0,,,382.0
41_Nb.out,,,67,131,99,149,49,,,,,257.0,163.0,,,381.0
42_Mo.out,,,66,130,98,148,48,,,,,256.0,162.0,,,380.0
43_Tc.out,,,65,129,97,161,47,,,,,255.0,161.0,,,379.0
44_Ru.out,,,64,128,96,160,46,,,,,254.0,160.0,,,378.0
45_Rh.out,,,63,127,95,159,45,,,,,253.0,159.0,,,377.0
46_Pd.out,,,62,126,94,158,44,,,,,252.0,158.0,,,376.0
47_Ag.out,,,61,125,93,157,43,,,,,251.0,157.0,,,375.0
48_Cd.out,,,60,124,92,156,42,,,,,250.0,156.0,,,374.0
49_In.out,,,79,143,91,155,31,,,,,163.0,89.0,,,257.0
50_Sn.out,,,78,142,90,154,30,,,,,162.0,88.0,,,256.0
51_Sb.out,,,77,141,89,153,29,,,,,161.0,87.0,,,255.0
52_Te.out,,,76,140,94,158,28,,,,,160.0,86.0,,,254.0
53_I.out,,,75,139,93,157,27,,,,,159.0,85.0,,,253.0
54_Xe.out,,,74,138,92,156,74,,,,,158.0,84.0,,,252.0
55_Cs.out,,,49,87,69,115,39,,,,,,,,,
56_Ba.out,,,70,78,70,106,36,,,,,,,,,
57_La.out,,,69,133,107,151,53,,,,,,,,,
72_Hf.out,,,68,132,106,156,52,,,,,258.0,164.0,,,382.0
73_Ta.out,,,67,131,105,155,51,,,,,257.0,163.0,,,381.0
74_W.out,,,66,130,104,154,50,,,,,256.0,162.0,,,380.0
75_Re.out,,,65,129,103,167,49,,,,,255.0,161.0,,,379.0
76_Os.out,,,64,128,102,160,48,,,,,254.0,160.0,,,378.0
77_Ir.out,,,63,127,101,159,47,,,,,253.0,159.0,,,377.0
78_Pt.out,,,62,126,100,158,46,,,,,252.0,158.0,,,376.0
79_Au.out,,,61,125,99,157,45,,,,,251.0,157.0,,,375.0
80_Hg.out,,,66,124,104,156,44,,,,,250.0,156.0,,,374.0
81_Tl.out,,,79,143,91,155,31,,,,,163.0,89.0,,,257.0
82_Pb.out,,,78,142,90,154,30,,,,,162.0,88.0,,,256.0
83_Bi.out,,,77,141,89,153,29,,,,,161.0,87.0,,,255.0
84_Po.out,,,76,140,94,158,28,,,,,160.0,86.0,,,254.0
85_At.out,,,75,139,93,157,27,,,,,159.0,85.0,,,253.0
86_Rn.out,,,74,138,92,156,74,,,,,158.0,84.0,,,252.0
